xShift,crossingAngle,axialRotation,zShift,energy
6.9,-43.0,-93.3333,4.55,5.701017
7.3,-37.0,-65.0,2.325,-9.519963
6.5,-41.0,-60.0,0.9,-18.495599
7.5,-43.0,-33.3333,0.95,-11.025435
7.1,-45.0,-35.0,1.875,-1.929327
7.5,-39.0,-60.0,0.9,-9.532154
6.9,-43.0,-73.3333,5.6,-11.793317
6.5,-37.0,-90.0,6.75,-13.548987
7.5,-45.0,-80.0,3.9,-6.329265
7.5,-37.0,-48.3333,2.525,-9.388153
7.1,-39.0,-106.667,6.55,-0.602956
7.1,-39.0,-75.0,5.175,-9.908221
6.5,-37.0,-76.6667,3.4,-15.985814
7.3,-43.0,-61.6667,1.825,-11.117068
7.3,-39.0,-118.333,4.925,-0.168429
7.5,-45.0,-41.6667,2.875,-10.319562
7.5,-45.0,-41.6667,1.525,-10.704411
7.3,-37.0,-55.0,3.525,-9.678343
7.5,-39.0,-53.3333,1.25,-10.12338
7.5,-39.0,-48.3333,1.175,-10.891932
6.7,-39.0,-85.0,5.325,-13.391711
7.3,-43.0,-71.6667,4.675,-8.197686
7.5,-45.0,-110.0,3.0,-8.67253
7.5,-43.0,-126.667,6.85,1.723439
7.3,-45.0,-108.333,4.775,-1.210462
7.5,-43.0,-91.6667,3.625,-2.450112
7.3,-43.0,-116.667,5.35,0.921022
7.3,-41.0,-105.0,6.975,-4.460558
6.9,-41.0,-58.3333,2.675,-14.704224
7.3,-35.0,-75.0,6.525,-6.711125
7.1,-35.0,-76.6667,6.1,-9.002597
7.3,-35.0,-88.3333,5.825,-5.774151
6.5,-37.0,-81.6667,6.175,-14.391529
7.5,-37.0,-121.667,5.425,-5.356492
6.7,-39.0,-78.3333,2.975,-4.54041
7.3,-45.0,-53.3333,3.95,-8.231416
6.9,-37.0,-100.0,6.9,-7.63261
7.1,-37.0,-60.0,3.6,-12.033196
7.1,-41.0,-90.0,6.75,-7.607641
7.3,-35.0,-63.3333,1.4,-9.84495
7.5,-43.0,-96.6667,2.35,0.463293
6.5,-43.0,-65.0,5.025,5.383672
7.5,-45.0,-65.0,6.375,-3.54027
6.7,-41.0,-78.3333,2.975,-5.822627
6.7,-37.0,-80.0,5.25,-14.051415
7.3,-45.0,-93.3333,5.9,-6.486937
7.3,-35.0,-63.3333,4.1,-9.517653
7.3,-45.0,-51.6667,3.025,-11.68146
7.3,-43.0,-58.3333,2.675,-10.766389
6.5,-39.0,-98.3333,5.975,2.327082
7.5,-45.0,-63.3333,2.75,-9.049844
7.3,-35.0,-81.6667,6.175,-6.307223
6.9,-43.0,-76.6667,6.1,-11.262893
7.3,-35.0,-48.3333,3.875,7.407142
7.3,-43.0,-121.667,5.425,-0.055711
7.5,-37.0,-86.6667,6.25,-4.159399
7.1,-37.0,-83.3333,5.75,-8.605671
7.3,-41.0,-111.667,3.925,0.70393
7.3,-41.0,-58.3333,5.375,9.270645
6.7,-45.0,-51.6667,3.025,-15.642392
6.7,-39.0,-83.3333,4.4,-13.308061
6.9,-43.0,-90.0,5.4,-10.520426
7.3,-43.0,-60.0,4.95,-5.226761
7.5,-45.0,-103.333,4.7,-4.452347
7.5,-37.0,-118.333,4.925,-6.192179
7.3,-35.0,-75.0,1.125,2.012634
6.9,-39.0,-105.0,6.975,-5.111381
7.5,-43.0,-93.3333,5.9,-4.794462
7.5,-35.0,-61.6667,3.175,-7.963714
7.3,-41.0,-78.3333,1.625,9.417456
6.9,-35.0,-90.0,5.4,-9.009503
6.7,-35.0,-76.6667,6.1,-12.460248
7.3,-45.0,-70.0,5.1,-8.185997
7.5,-41.0,-70.0,5.1,-6.44837
6.9,-41.0,-86.6667,6.25,-10.465601
7.5,-45.0,-50.0,4.8,-1.203787
7.5,-41.0,-61.6667,3.175,-7.647383
7.5,-41.0,-78.3333,2.975,-6.183939
7.5,-39.0,-56.6667,5.8,0.973838
7.3,-39.0,-86.6667,6.25,-6.102975
6.5,-39.0,-70.0,2.4,-17.067426
7.3,-45.0,-96.6667,5.05,-6.079259
7.5,-39.0,-58.3333,2.675,-8.12812
6.7,-41.0,-81.6667,4.825,-14.074378
7.5,-39.0,-121.667,6.775,3.73178
7.5,-45.0,-91.6667,3.625,-3.455936
7.1,-39.0,-86.6667,6.25,-8.087187
6.7,-37.0,-56.6667,3.1,-17.117265
7.5,-37.0,-91.6667,6.325,-3.754789
7.5,-45.0,-78.3333,5.675,-5.791039
6.5,-37.0,-63.3333,4.1,-16.689322
6.5,-37.0,-43.3333,1.1,-17.217372
7.5,-43.0,-48.3333,3.875,-6.775378
7.5,-35.0,-68.3333,4.175,-6.880619
7.5,-39.0,-78.3333,1.625,-2.747975
7.3,-39.0,-65.0,3.675,-9.140884
7.1,-37.0,-65.0,3.675,-11.624467
7.3,-43.0,-100.0,6.9,-5.233028
6.9,-37.0,-71.6667,3.325,-13.407342
7.1,-43.0,-30.0,0.45,-4.85291
7.3,-37.0,-98.3333,4.625,5.410029
7.5,-43.0,-65.0,6.375,-3.649168
